Algorithm,RMSE-1M,RMSE-100K,RMSE-Netflix,MAE-1M,MAE-100K,MAE-Netflix,Fit-Time-1M,Fit-Time-100K,Fit-Time-Netflix,Test-Time-1M,Test-Time-100K,Test-Time-Netflix
SVD,0.8735,0.9354,0.9707,0.6859,0.7376,0.7721,50.9,4.94,83.53,2.84,0.19,2.61
SlopeOne,0.9065,0.9448,0,0.7145,0.7427,0,16.72,0.87,0,58.51,2.83,0
NMF,0.9169,0.9639,1.1401,0.7247,0.7578,0.9023,56.9,5.66,106.35,2.7,0.17,2.58
CoClustering,0.9148,0.9623,1.0889,0.717,0.7529,0.8473,27.52,2.26,64.26,2.32,0.14,2.19
KNNBasic-Pearson-item-based,0.9621,1.0117,1.1284,0.766,0.8032,0.8721,89.54,1.27,1.22,156.06,3.42,5.22
KNNBasic-Pearson-user-based,0.9619,1.0108,1.1283,0.7656,0.8028,0.8721,92.49,1.28,1.17,164.21,3.38,5.39
KNNBasic-msd-item-based,0.9228,0.9789,1.1219,0.7275,0.7734,0.8696,50.53,0.39,0.59,160.84,3.39,3.25
KNNBasic-msd-user-based,0.923,0.9784,1.1232,0.7275,0.7723,0.87,50.66,0.45,0.59,162.67,3.5,3.34
KNNBaseline- Pearson -item-based,0.8955,0.9312,1.0415,0.7061,0.7318,0.8014,99.94,1.69,4.72,164.04,3.91,4.01
KNNBaseline- Pearson -user-based,0.8957,0.9319,1.0418,0.7061,0.7327,0.8013,99.43,1.67,4.75,165.69,3.84,3.95
KNNBaseline-msd-item-based,0.8949,0.9298,1.0396,0.7064,0.7328,0.8026,58.37,0.81,4.17,166.19,3.89,3.66
KNNBaseline-msd-user-based,0.8952,0.93,1.0393,0.7066,0.7322,0.8023,58.35,0.8,4.11,167.98,4.31,3.41
KNNWithMeans-Pearson-item-based,0.9183,0.9487,1.0492,0.7234,0.7426,0.813,93.76,1.34,1.26,160.32,3.54,3.52
KNNWithMeans-Pearson-user-based,0.9183,0.9507,1.0497,0.7232,0.7443,0.8135,94.29,1.33,1.32,159.83,3.55,3.5
KNNWithMeans-msd-item-based,0.9295,0.9501,1.0471,0.7389,0.7489,0.8143,51.55,0.47,0.86,162.21,3.54,3.6
KNNWithMeans-msd-user-based,0.9292,0.9496,1.0476,0.7385,0.7482,0.8145,51.52,0.45,0.89,162.99,3.52,3.48
NormalPredictor,1.5061,1.5161,1.4474,1.2077,1.2183,1.1584,1.84,0.16,2.27,2.64,0.19,2.46
